erp管理软件ERP生产系统开发CRM数据saas软件定制,上海闻峥-国家高新企业-八戒优质服务商5强,北京,15000,近半年成交：0笔
项目互联网IT行业创业商业计划书融资路演PPT金融类,探墨咨询策划,北京,15000,近半年成交：0笔
CRM|OA|saas会员管理系统|定制餐饮开发|进库存系统,华韩软件,北京,1000,近半年成交：0笔
企业管理软件开发/saas行业应用软件系统软件工具软件开发,金桥网络旗舰店【13年互联网品牌】,北京,25000,近半年成交：0笔
软件开发APP开发saas系统成品嵌入式二次开发软件测试定制,神越科技,北京,1688,近半年成交：0笔
软件UI设计界面页面saas管理OA系统后台应用平台,轻妙视觉,北京,800,近半年成交：1笔
软件开发/saas/数据库/IT开发/网站定制开发/php,麦秸映像IT开发-微信/小程序/app,北京,5000,近半年成交：0笔
CRM|OA|saas会员管理系统|进库存系统|定制餐饮开发,北京明创科技10年老店高新企业,北京,45000,近半年成交：0笔
软件开发|系统定制|OA saas ERP CRM 功能开发,百荣科技-国家高新企业,北京,5000,近半年成交：1笔
企业微信开发-办公小程序教育家校通企微管家saas应用政务,智顺科技-国家高新技术企业,北京,3000,近半年成交：0笔
区块链开发物联网saas软件模板响应式网站,骐翔网络10年老店,北京,1688,近半年成交：0笔
软件开发OA系统CRM客户管理系统ERP系统saas软件平台,神州网络旗舰店,北京,9800,近半年成交：0笔
工具软件二次开发微信小程序定制开发商城saas微信小游戏开发,艺点意创品牌策划有限公司,北京,10000,近半年成交：0笔
CRM|OA|saas会员管理系统|定制餐饮开发|进库存系统,鼎维云掌门软件,北京,10000,近半年成交：1笔
企业级saas服务管理云平台行业创业方案商业计划书融资撰写作,杉林创投,北京,3500,近半年成交：0笔
系统界面软件ui后台管理网页设计saas设计erp设计网站,千红视觉,北京,380,近半年成交：1笔
北京软件开发|OA saas ERP CRM 功能开发|系统,至德讯通,北京,5000,近半年成交：0笔
行政软件开发|开发OA saas ERP CRM 功能,大连捷径科技有限公司,北京,3000,近半年成交：0笔
CRM|OA|saas会员管理系统|进库存系统|定制餐饮开发,界民科技-国家高企双软企业,北京,8800,近半年成交：0笔
【saas定制开发】C/S定制开发|软件服务|智能平台,山东新网科技,北京,15000,近半年成交：0笔
系统|CRM系统|微信开发|微信公众平台开发|分销,坤创科技-致力于为企业提供优质移动互联网解决方案,北京,5000,近半年成交：0笔
软件开发|系统定制|OA saas ERP CRM 功能开发,新知地科技,北京,5000,近半年成交：0笔
大型连锁超市saas软件管理系统,北京众立信科技有限公司,北京,2988,近半年成交：0笔
管理软件界面区块链ui进销存saas界面ERP设计办公ui,禾马UI,北京,188,近半年成交：1笔
系统界面软件ui后台管理网页设计saas设计erp设计网站,山谷视觉,北京,400,近半年成交：1笔
WMS saas仓储管理系统成品软件saas服务平台软件定制,易软通供应链-国家高新企业-智能仓储20年经验,北京,3800,近半年成交：0笔
教学管理saas平台（可抵扣200元）,呤呤科技,北京,100,近半年成交：0笔
微电商|微信开发|saas|微信|微信公众号|微信商城|分销,积木网,北京,2000,近半年成交：2笔
网站建设开发 PHP开发电商网站 后端开发 脚本开发,钜鼎网络-中关村高新技术企业,北京,50,近半年成交：0笔
企业进销存后台客户管理分销商城系统软件平台定制开发,微略科技,北京,10000,近半年成交：0笔
软件开发|系统定制|OA saas ERP CRM 功能开发,西岐网络,北京,5000,近半年成交：0笔
电视显示屏界面建材酒店行业研究行业erp管理saas界面ui,易扬创意设计,北京,288,近半年成交：0笔
互联网+行业应用平台建设，saas平台开发,日月新著,北京,80000,近半年成交：0笔
大数据平台开发  saas开发 云平台开发 前端开发 APP,峥嵘时代科技,北京,10000,近半年成交：0笔
软件开发合同管理工业物联网三级分销AI党建统计分析数据检索,卓诚科技-软件定制开发,北京,2000,近半年成交：1笔
定制开发java在线考试系统 题库开发 考试软件 题库软件,壹云科技,北京,50000,近半年成交：0笔
|iOS|Android|APP定制开发|原生|混合二次开发,北京精诚博源科技,北京,20000,近半年成交：10笔
微信小程序定制开发直播商城外卖点餐教育交友电商二手车社区团购,禾高网络科技旗舰,北京,2500,近半年成交：1163笔
H5响应式｜电商网站建设|企业网站|营销外贸｜APP模板定制,万博通达,北京,6000,近半年成交：418笔
原生app开发定制商城教育医疗生鲜外卖招聘社交问诊安卓苹果,天迅达科技-国家高新技术企业,北京,4800,近半年成交：4014笔
原生app开发生鲜外卖点餐app定制商城团购超市医疗教育社交,晟轩科技- 入驻14年国家高新技术企业,北京,5800,近半年成交：3000笔
企业网站建设 网站开发 网站定制 手机网站 网站制作网站设计,久鑫网络-久久网络品牌建站(13年老店),北京,1599,近半年成交：2344笔
微信小程序开发小程序定制开发微信公众号平台开发小程序商城H5,千界科技-国家高企双软企业,北京,1588,近半年成交：1482笔
企业网站建设网站制作网站设计公司官网网站开发展示网站定制改版,冰雪网络,北京,2000,近半年成交：821笔
H5企业公司官网站建设开发官方做网站网页设计制作定制开发建站,云淞网络,北京,1899,近半年成交：324笔
H5响应式企业官方公司官网站建设开发建站网页设计制作定制开发,至信网络科技,北京,1688,近半年成交：223笔
APP开发教育软件商城定制作物联网系统社交成品物流app开发,千翼科技-500人技术团队,北京,6000,近半年成交：202笔
大数据可视化大屏设计数据化设计智能大屏软件界面3D建模UI,千赞科技-国家高新技术企业,北京,4000,近半年成交：107笔
企业网站建设网站定制开发手机网站网站制作官网设计php网站,北京归途科技公司,北京,398,近半年成交：85笔
微信小程序开发微信开发公众号开发生鲜电商超市拼团商城小程序,彩程科技-国家高新技术企业,北京,1000,近半年成交：76笔
网站建设企业网站开发/官网搭建定制前端PHP后台制作模板建站,莫道网络,北京,1000,近半年成交：76笔
微信公众号｜小程序开发｜商城｜教育｜医疗｜餐饮小程序定制开发,思领科技,北京,280,近半年成交：36笔
微信开发小程序开发商城购物餐饮外卖同城跑腿预约家政酒店小程序,玖魅科技,北京,10000,近半年成交：9笔
UI界面设计APP微信小程序H5网站活动软件系统UI界面设计,七页科技,北京,200,近半年成交：8笔
微信小程序/商城/支付/公众号/点餐系统/高端定制/页面设计,乙种粒子工作室,北京,1500,近半年成交：1笔
公司企业网站建设官网网站制作网站开发网站设计商城网站光荣网络,光荣网络光荣文创,北京,6800,近半年成交：2562笔
企业网站建设 网站定制开发 网站制作 网站设计 响应式科威鲸,科威鲸网络-国家高企(12年实体品牌),北京,3680,近半年成交：2414笔
微信小程序商城房产招聘点餐跑腿预约家政教育公众号H5定制开发,网帆科技【12年互联网品牌】,北京,3800,近半年成交：1842笔
"小程序开发,微信开发,小程序商城,H5开发制作,公众号开发",圣融科技有限公司,北京,4000,近半年成交：1488笔
企业定制网站企业小程序公众号企业app定制开发售后无忧,智企云科技有限公司,北京,2800,近半年成交：246笔
ui设计app设计网页设计软件界面设计小程序设计h5logo,佰上设计,北京,300,近半年成交：93笔
PC手机站小程序定制设计开发企业网站建设企业官网仿站模板建设,牧狼传媒,北京,3500,近半年成交：81笔
APP开发/原生app定制开发/商城/打车/交友/教育/跑腿,来客网络科技,北京,5800,近半年成交：57笔
微信开发/公众号开发/微商城/微分销/定制/运营【猫灵网络】,猫灵网络,北京,1999,近半年成交：49笔
成品APP|原生APP开发|iOS应用|安卓应用|APP定制,北京简智科技有限责任公司,北京,9000,近半年成交：45笔
企业个人手机模板建站微官网站建设定制作开发网页设计仿站商城,争流品牌策划,北京,600,近半年成交：22笔
APP开发|微信开发|网站定制|小程序开发|公众号|教育软件,悦商东方,北京,15000,近半年成交：20笔
网站设计/电商餐饮教育医疗地产物流旅游/网页UI设计解决方案,艺站库设计,北京,300,近半年成交：19笔
【物联网】软件开发/设备管理/云端大屏/GIS地图/统计报表,北京数字腾飞,北京,6888,近半年成交：6笔
